id,name,phone_original,phone_normalized,country,rating,company,address
ChIJz-4QOAAndTERTy8ZdErE6o8,"Trung B&B Computer - Sửa chữa Laptop, PC, lắp camera, đổ mực máy in",+84 983 006 562,+84983006562,vietnam,5.0,"Trung B&B Computer - Sửa chữa Laptop, PC, lắp camera, đổ mực máy in","10B Đường Lê Lợi, Hiệp Phú, Thủ Đức, Thành phố Hồ Chí Minh 70000, Vietnam"
ChIJTSDPnHApdTERu_yiwhvvqhk,Vi tính 3A - Sửa Laptop PC,+84 907 997 884,+84907997884,vietnam,5.0,Vi tính 3A - Sửa Laptop PC,"186/38 Nguyễn Sơn, Phú Thọ Hoà, Tân Phú, Thành phố Hồ Chí Minh, Vietnam"
ChIJJfeYm-wpdTER-0BaFUMJxVc,Cửa Hàng Sửa Laptop Quận Bình Thạnh - Máy Tính Thiên Long,+84 703 033 929,+84703033929,vietnam,5.0,Cửa Hàng Sửa Laptop Quận Bình Thạnh - Máy Tính Thiên Long,"744, số cũ/604 Xô Viết Nghệ Tĩnh, Phường 25, Bình Thạnh, Thành phố Hồ Chí Minh 700000, Vietnam"
ChIJfyiUz3CsNTERbqy1BWDqYnM,TNC Store,+84 868 302 123,+84868302123,vietnam,4.9,TNC Store,"172 P. Lê Thanh Nghị, Đồng Tâm, Hai Bà Trưng, Hà Nội, Vietnam"
ChIJ9d7ir82sNTERRmIHrqKCs7I,"Hoàng Long Computer Hà Đông - PC Gaming, PC Văn phòng, PC Đồ hoạ, PC Giả lập, PC full bộ, VGA, CPU",+84 982 368 008,+84982368008,vietnam,4.9,"Hoàng Long Computer Hà Đông - PC Gaming, PC Văn phòng, PC Đồ hoạ, PC Giả lập, PC full bộ, VGA, CPU","94 P. Nguyễn Văn Trỗi, P. Mộ Lao, Hà Đông, Hà Nội, Vietnam"
ChIJFdioSRmvNTERNzCb1nC-Thk,LapMax,+84 326 669 199,+84326669199,vietnam,4.9,LapMax,"11 ngõ 3 Thái Hà, Đống Đa, Hà Nội Hà Nội, Hanoi City, 10000, Vietnam"
ChIJd63WMYCsNTERVUPvDVPHmN8,"TechSpace Việt Nam | Gaming Gear, PC và Đồ Công Nghệ",+84 342 656 996,+84342656996,vietnam,4.9,"TechSpace Việt Nam | Gaming Gear, PC và Đồ Công Nghệ","39 Ngõ 93 Hoàng Văn Thái, Khương Trung, Thanh Xuân, Hà Nội, Vietnam"
ChIJLeYu83CrNTEROaKVqbhljhk,Xgear Vietnam,+84 972 321 881,+84972321881,vietnam,4.9,Xgear Vietnam,"10A1 Ng. 49 P. Linh Lang, Cống Vị, Ba Đình, Hà Nội 100000, Vietnam"
ChIJ74TAtgqtNTER9hM2ekuDf2k,"Speed Computer - PC Gaming, PC Đồ Họa - Render, PC Văn Phòng, Workstations, Linh Kiện Chính Hãng",+84 916 016 866,+84916016866,vietnam,4.9,"Speed Computer - PC Gaming, PC Đồ Họa - Render, PC Văn Phòng, Workstations, Linh Kiện Chính Hãng","Ngõ 533 Tam Trinh Số nhà 19, ngõ 533 đường Tam Trinh Hà Nội, Hanoi City, Vietnam"
ChIJFSvQfgCrNTERAUVE9jTW_gA,Unistore Việt Nam,+84 966 816 866,+84966816866,vietnam,4.9,Unistore Việt Nam,"152 Đ. La Thành, Chợ Dừa, Đống Đa, Hà Nội, Vietnam"
ChIJR_3nL22rNTERujLd-hWBzk8,No.1 Computer - Hệ Thống Máy Tính & Phụ Kiện,+84 886 288 288,+84886288288,vietnam,4.9,No.1 Computer - Hệ Thống Máy Tính & Phụ Kiện,"21 Ng. 131 P. Thái Hà, Trung Liệt, Đống Đa, Hà Nội 10000, Vietnam"
ChIJ0WGbxq1TNDERRsuV58MOrao,Laptop K1,+84 336 688 683,+84336688683,vietnam,4.9,Laptop K1,"240 P. Lê Thanh Nghị, Đồng Tâm, Hai Bà Trưng, Hà Nội 11600, Vietnam"
ChIJZf-U_AOtNTERJZm7S2IMFPY,Hpctech,+84 987 191 515,+84987191515,vietnam,4.9,Hpctech,"269 P. Chùa Bộc, Trung Liệt, Đống Đa, Hà Nội 100000, Vietnam"
ChIJb_PRRXwpdTERiJMMeZ2X3-s,Thu Mua Laptop Cũ Giá Cao - Laptop Nguyễn Nghĩa,+84 977 419 856,+84977419856,vietnam,4.9,Thu Mua Laptop Cũ Giá Cao - Laptop Nguyễn Nghĩa,"102/8A Phan Huy Ích, Phường 15, Tân Bình, Thành phố Hồ Chí Minh 700000, Vietnam"
ChIJZ2bVMM4odTERN9k3W0WCT6U,BP Store,+84 938 889 100,+84938889100,vietnam,4.9,BP Store,"42 Đ. Sầm Sơn, Phường 4, Tân Bình, Thành phố Hồ Chí Minh 72106, Vietnam"
ChIJhw0wg3ApdTERviu_hnsmo8k,Laptop Minh Mẫn Cửa hàng chuyên laptop cũ giá rẻ uy tín TPHCM,+84 934 701 111,+84934701111,vietnam,4.9,Laptop Minh Mẫn Cửa hàng chuyên laptop cũ giá rẻ uy tín TPHCM,"390/15 Phạm Văn Bạch, Phường 15, Tân Bình, Thành phố Hồ Chí Minh 700000, Vietnam"
ChIJr_FatIMpdTERHW-vMJMrj-Y,Laptop Uy Tín - Thu Mua Laptop Giá Cao HCM,+84 376 766 776,+84376766776,vietnam,4.9,Laptop Uy Tín - Thu Mua Laptop Giá Cao HCM,"656/74/42, Đường Quang Trung, Phường 11, Gò Vấp, Thành phố Hồ Chí Minh 700000, Vietnam"
ChIJHfmyr8YudTER45_sOV5DuJY,Không gian care - Sửa Chữa Laptop-Macbook-iPhone-iPad,+84 938 881 872,+84938881872,vietnam,4.9,Không gian care - Sửa Chữa Laptop-Macbook-iPhone-iPad,"54 Đường Trần Minh Quyền, Phường 10, Quận 10, Thành phố Hồ Chí Minh 700000, Vietnam"
ChIJSyG6924ndTERvu_T3RnVMMk,"Haga Smartech – Repair & Trade-in MacBook, iPhone, Laptops, iWatch| Thao Dien- An Khanh - Ho Chi Minh",+84 925 435 688,+84925435688,vietnam,4.9,"Haga Smartech – Repair & Trade-in MacBook, iPhone, Laptops, iWatch| Thao Dien- An Khanh - Ho Chi Minh","18 Nguyễn Văn Hưởng, Phường An Khánh, Thủ Đức, Thành phố Hồ Chí Minh 70000, Vietnam"
ChIJ1ydK1c8rdTERsd8Yg0X4rYQ,Laptop Khổng Minh,+84 903 924 995,+84903924995,vietnam,4.9,Laptop Khổng Minh,"417-419 Đ. Trường Chinh, Tân Thới Nhất, Quận 12, Thành phố Hồ Chí Minh 700000, Vietnam"
ChIJv1QAAJMndTERZ31zMctryuw,Sửa Laptop Thủ Đức - Sửa Máy Tính Thủ Đức - Cửa Hàng Tin Học Shop Việt,+84 909 593 393,+84909593393,vietnam,4.9,Sửa Laptop Thủ Đức - Sửa Máy Tính Thủ Đức - Cửa Hàng Tin Học Shop Việt,"Hẻm 20 Đ. Số 11, Trường Thọ, Thủ Đức, Thành phố Hồ Chí Minh 700000, Vietnam"
ChIJc3kKDdEvdTERbt3TcI1RYao,Sửa Chữa Laptop ZIN - Bệnh Viện Laptop,+84 868 733 736,+84868733736,vietnam,4.9,Sửa Chữa Laptop ZIN - Bệnh Viện Laptop,"1467A 3 Tháng 2, Phường 16, Quận 11, Thành phố Hồ Chí Minh 700000, Vietnam"
ChIJgxqEFGUndTERAnNVgG3EVWU,ITFIX Hệ Thống Sửa Chữa Laptop,+84 966 489 633,+84966489633,vietnam,4.9,ITFIX Hệ Thống Sửa Chữa Laptop,"484A Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9 Ký Túc Xá D2 Đại Học Sư Phạm Kỹ Thuật, Thủ Đức, Thành phố Hồ Chí Minh 70000, Vietnam"
ChIJh3UalNMtdTERHYBCcz3ZiTs,"Điện Thoại Vui - Sửa điện thoại, laptop quận 6",+84 28 7106 1075,+842871061075,vietnam,4.9,"Điện Thoại Vui - Sửa điện thoại, laptop quận 6","1075 Đ. Hậu Giang, Phường 11, Quận 6, Thành phố Hồ Chí Minh 700000, Vietnam"
ChIJi8txv7UndTER3_VZuA4TKt8,"Điện Thoại Vui - Sửa điện thoại, laptop quận 2",+84 28 7101 0035,+842871010035,vietnam,4.9,"Điện Thoại Vui - Sửa điện thoại, laptop quận 2","35 Trần Não, Khu Phố 4, Thủ Đức, Thành phố Hồ Chí Minh 70000, Vietnam"
ChIJR1bvECYvdTER3eRHPm8qiwc,Saigonso - Center for Cell Phone Repair,+84 909 186 168,+84909186168,vietnam,4.9,Saigonso - Center for Cell Phone Repair,"11 Nguyễn Phúc Nguyên, Phường 9, Quận 3, Thành phố Hồ Chí Minh, Vietnam"
ChIJD8nTZhsvdTERZcyHWjKBcIY,Trung Tâm Vi Tính Tin Học Trường Thịnh - Trường Thịnh Group,+84 938 169 138,+84938169138,vietnam,4.9,Trung Tâm Vi Tính Tin Học Trường Thịnh - Trường Thịnh Group,"362 3 Tháng 2, Phường 12, Quận 10, Thành phố Hồ Chí Minh 700000, Vietnam"
ChIJQ8viDGcpdTER29TQXIRWQb8,HAI ANH CENTER,+84 979 598 598,+84979598598,vietnam,4.9,HAI ANH CENTER,"1323 Đ. Phan Văn Trị, Phường 10, Gò Vấp, Thành phố Hồ Chí Minh 700000, Vietnam"
ChIJJfqBo_4pdTERAC0eiOoRUQE,"Điện Thoại Vui Hoàng Văn Thụ - Sửa điện thoại, laptop Quận Tân Bình",+84 28 7108 8808,+842871088808,vietnam,4.9,"Điện Thoại Vui Hoàng Văn Thụ - Sửa điện thoại, laptop Quận Tân Bình","250 Đ. Hoàng Văn Thụ, Phường 4, Tân Bình, Thành phố Hồ Chí Minh 700000, Vietnam"
ChIJ-SCmh8wodTERVp0tHZ9U678,"Điện Thoại Vui Trần Quang Khải - Sửa điện thoại, laptop Quận 1",+84 28 7109 9955,+842871099955,vietnam,4.9,"Điện Thoại Vui Trần Quang Khải - Sửa điện thoại, laptop Quận 1","81A Trần Quang Khải, Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam"
ChIJhV5_9McvdTERzl5TiKhPHpE,Minh Tuấn Computer 24h,+84 869 214 911,+84869214911,vietnam,4.9,Minh Tuấn Computer 24h,"56 Đường Số 81, Tân Quy, Quận 7, Thành phố Hồ Chí Minh 72900, Vietnam"
ChIJnX2fOs8pdTERR43NO0kvzso,Sửa chữa Laptop 24h.com,+84 901 296 000,+84901296000,vietnam,4.9,Sửa chữa Laptop 24h.com,"133 D5, Phường 25, Bình Thạnh, Thành phố Hồ Chí Minh 72308, Vietnam"
ChIJNXXy9sovdTERkJak1Q4t0mk,"Điện Thoại Vui - Sửa điện thoại, laptop Quận Tân Phú",+84 28 7100 0043,+842871000043,vietnam,4.9,"Điện Thoại Vui - Sửa điện thoại, laptop Quận Tân Phú","43D Đ. Hòa Bình, Tân Thới Hoà, Tân Phú, Thành phố Hồ Chí Minh 700000, Vietnam"
ChIJTUWCbQAtdTERxd3z8AW7Pe4,Cửa hàng sửa laptop Quận Tân Phú Thiên Long,+84 932 743 732,+84932743732,vietnam,4.9,Cửa hàng sửa laptop Quận Tân Phú Thiên Long,"199 Đ. Hòa Bình, Hiệp Tân, Tân Phú, Thành phố Hồ Chí Minh 700000, Vietnam"
ChIJ1ZqIe0gpdTERrtgODRNNEtY,Máy Tính Khoá Vàng,+84 931 333 027,+84931333027,vietnam,4.9,Máy Tính Khoá Vàng,"14a Nguyễn Đình Chiểu, Đa Kao, Quận 1, Thành phố Hồ Chí Minh 70000, Vietnam"
ChIJs81Ex2IndTERc6U1ULoRvbo,Sài Gòn Computer Thủ Đức,+84 981 282 397,+84981282397,vietnam,4.9,Sài Gòn Computer Thủ Đức,"96A Đường Số 6, Phường Linh Trung, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
ChIJ_QdlgoYndTERG4qm5XCWc4Y,PHÁT TÀI COMPUTER (MUA BÁN SỬA CHỮA MÁY TÍNH HCM),+84 365 007 279,+84365007279,vietnam,4.9,PHÁT TÀI COMPUTER (MUA BÁN SỬA CHỮA MÁY TÍNH HCM),"23/15 Mai Lão Bạng, Phường Tân Bình, Tân Bình, Thành phố Hồ Chí Minh 700000, Vietnam"
ChIJW2DCMUwpdTER5xYvVpI0RbQ,NPCshop.vn,+84 909 226 607,+84909226607,vietnam,4.9,NPCshop.vn,"276 32/2, Phường 16, Gò Vấp, Thành phố Hồ Chí Minh 700000, Vietnam"
ChIJd09IESIpdTERhz4r0l6n1tQ,Khóa Vàng Computer,+84 931 333 024,+84931333024,vietnam,4.9,Khóa Vàng Computer,"338 Đ. Trường Chinh, Phường Tân Bình, Tân Bình, Thành phố Hồ Chí Minh 70000, Vietnam"
ChIJFxEns78ndTERctteXhy_MAw,Hoàng Gia Computer,+84 375 111 112,+84375111112,vietnam,4.9,Hoàng Gia Computer,"200 Nguyễn Hoàng, An Phú, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam"
ChIJR3SHFtSrNTERcVySd5yYzt8,Hoàng Hà PC Cầu Giấy,+84 969 123 666,+84969123666,vietnam,4.8,Hoàng Hà PC Cầu Giấy,"41 P. Khúc Thừa Dụ, Dịch Vọng, Cầu Giấy, Hà Nội, Vietnam"
ChIJW7kqFLytNTER0OToZajrSNo,Máy Tính Nguyễn Công,+84 828 333 363,+84828333363,vietnam,4.8,Máy Tính Nguyễn Công,"17 P. Hà Kế Tấn, Phương Liệt, Thanh Xuân, Hà Nội 10000, Vietnam"
ChIJpQhyeIKsNTERXySRt3UbeZo,Laptopaz,+84 825 233 233,+84825233233,vietnam,4.8,Laptopaz,"18 Ng. 121 P. Thái Hà, Trung Liệt, Đống Đa, Hà Nội, Vietnam"
ChIJiZDNWIwldTERyDpzQqjNKUY,MYGEAR - Kinh Doanh Phân Phối Laptop - PC & Gaming Gear Chính Hãng Giá Rẻ,+84 787 955 888,+84787955888,vietnam,4.8,MYGEAR - Kinh Doanh Phân Phối Laptop - PC & Gaming Gear Chính Hãng Giá Rẻ,"266/32 Đường Tô Hiến Thành, Phường 15, Quận 10, Thành phố Hồ Chí Minh 72509, Vietnam"
ChIJcZkBjNgodTER0yBalE2vcQA,Phong Cách Xanh | Gaming gear & Hi-end Computer,+84 904 135 321,+84904135321,vietnam,4.8,Phong Cách Xanh | Gaming gear & Hi-end Computer,"Phường đức nhuận, 89 Hồ Văn Huê, Phường 9, Phú Nhuận, Thành phố Hồ Chí Minh 70000, Vietnam"
ChIJWxqqoOMudTERpKUulk5ynD0,Emergency Laptop - Emergency Mobile - Nine Hao,+84 977 654 321,+84977654321,vietnam,4.8,Emergency Laptop - Emergency Mobile - Nine Hao,"367 Điện Biên Phủ, Phường 2, Bình Thạnh, Thành phố Hồ Chí Minh 700000, Vietnam"
ChIJM7vSQlgpdTER3XcOaJFD_4E,Saigon Computer,+84 982 342 030,+84982342030,vietnam,4.8,Saigon Computer,"115A Lê Quang Định, Phường 14, Bình Thạnh, Thành phố Hồ Chí Minh, Vietnam"
ChIJv5bzozgpdTERJyrIurL9L40,Sửa Laptop Macbook - THẾ GIỚI LAPTOP 24H,+84 862 283 289,+84862283289,vietnam,4.8,Sửa Laptop Macbook - THẾ GIỚI LAPTOP 24H,"122 Đ. Đào Duy Anh, Phường 9, Phú Nhuận, Thành phố Hồ Chí Minh 70000, Vietnam"
ChIJCdDa4WondTERSxVom9wY4jw,Sửa chữa laptop lấy liền uy tín Thủ Đức - Fix360,+84 972 232 424,+84972232424,vietnam,4.8,Sửa chữa laptop lấy liền uy tín Thủ Đức - Fix360,"272 Đ. Hoàng Diệu 2, Linh Chiểu, Thủ Đức, Thành phố Hồ Chí Minh 70000, Vietnam"
ChIJS-_ZhygvdTER430i66mFrpA,Sửa Macbook Laptop Surface Imac Ipad Iphone - Hoàng Vũ Center,+84 916 472 445,+84916472445,vietnam,4.8,Sửa Macbook Laptop Surface Imac Ipad Iphone - Hoàng Vũ Center,"395A Cách Mạng Tháng Tám, Phường 13, Quận 10, Thành phố Hồ Chí Minh 700000, Vietnam"
ChIJgQ0_OdIldTERK5chuOWGdkg,Laptop Dai Loi,+84 902 771 567,+84902771567,vietnam,4.8,Laptop Dai Loi,"658 Nguyễn Thị Định, Phường Thạnh Mỹ Lợi, Thủ Đức, Thành phố Hồ Chí Minh 70000, Vietnam"
ChIJcfAwqlgvdTERmuM8Rie88QE,"Điện Thoại Vui - Sửa điện thoại, laptop Quận Tân Bình",+84 28 7108 8690,+842871088690,vietnam,4.8,"Điện Thoại Vui - Sửa điện thoại, laptop Quận Tân Bình","570 Âu Cơ, Phường 10, Tân Bình, Thành phố Hồ Chí Minh 700000, Vietnam"
ChIJSVe_9PkndTERATEmOGT8_x8,'new.it,+84 901 100 534,+84901100534,vietnam,4.8,'new.it,"26 Thảo Điền, Thủ Đức, Thành phố Hồ Chí Minh 700000, Vietnam"
ChIJaxscff0vdTERw29UI3F4-pk,Suachualaptop24h.com,+84 901 296 000,+84901296000,vietnam,4.8,Suachualaptop24h.com,"153 3 Tháng 2, Phường 10, Quận 10, Thành phố Hồ Chí Minh, Vietnam"
ChIJfxPVZykvdTERC2UvvWP3luc,Hoàng Hà PC Hồ Chí Minh,+84 968 123 666,+84968123666,vietnam,4.8,Hoàng Hà PC Hồ Chí Minh,"K8bis Đ. Bửu Long, Phường 15, Quận 10, Thành phố Hồ Chí Minh 70000, Vietnam"
ChIJBU21L_wrdTERksddEDVcfmU,"Máy Tính Phụng Tiên - Lắp Ráp, Mua Bán, Sửa Chữa Máy Tính, Laptop",+84 908 632 612,+84908632612,vietnam,4.8,"Máy Tính Phụng Tiên - Lắp Ráp, Mua Bán, Sửa Chữa Máy Tính, Laptop","913 Đ. Nguyễn Văn Quá, Đông Hưng Thuận, Quận 12, Thành phố Hồ Chí Minh, Vietnam"
ChIJ6VEGM5spdTERownGNPiHMaA,PC79.VN,+84 868 792 992,+84868792992,vietnam,4.8,PC79.VN,"522 Đ. Phạm Văn Chiêu, Phường An Hội Đông, Gò Vấp, Thành phố Hồ Chí Minh 728100, Vietnam"
ChIJRZG5wlAvdTER0UqrWEc__jc,Phương Phát PC | Máy tính - Laptop - Camera - Thiết bị văn phòng,+84 329 208 664,+84329208664,vietnam,4.8,Phương Phát PC | Máy tính - Laptop - Camera - Thiết bị văn phòng,"457 Đ. Trần Xuân Soạn, Tân Kiểng, Quận 7, Thành phố Hồ Chí Minh 700000, Vietnam"
ChIJUaYE7yMvdTERMg25LVuynDQ,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ HỢP THÀNH THỊNH,+84 932 153 163,+84932153163,vietnam,4.8,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ HỢP THÀNH THỊNH,"406/55 Cộng Hòa, Phường Tân Bình, Tân Bình, Thành phố Hồ Chí Minh, Vietnam"
ChIJw48XbrKtNTERKMPhC78S-Bg,Hoàng Hà PC Đống Đa,+84 396 122 999,+84396122999,vietnam,4.7,Hoàng Hà PC Đống Đa,"Vietnam/94F Đ. Láng, Thịnh Quang, Đống Đa, Hà Nội 100000, Vietnam"
ChIJn3fi1nCsNTERJqFyh-83Tqs,Laptop TCC,+84 762 637 777,+84762637777,vietnam,4.7,Laptop TCC,"101 P. Lê Thanh Nghị, Đồng Tâm, Hai Bà Trưng, Hà Nội 10000, Vietnam"
ChIJlRYEpNerNTER20tJQQ53lKU,Gearvn Thái Hà,+84 1800 6975,+8418006975,vietnam,4.7,Gearvn Thái Hà,"32 P. Thái Hà, Trung Liệt, Đống Đa, Hà Nội 100000, Vietnam"
ChIJDZOUed-rNTERSykrTVbaZpc,ThinkPro,+84 1900 633579,+841900633579,vietnam,4.7,ThinkPro,"53 P. Thái Hà, Trung Liệt, Đống Đa, Hà Nội, Vietnam"
ChIJm6UvzaWtNTERi3cqUJxcR40,AudioSV,+84 989 142 260,+84989142260,vietnam,4.7,AudioSV,"25 P. Hà Kế Tấn, Phương Liệt, Thanh Xuân, Hà Nội 115000, Vietnam"
ChIJWywQbqqrNTERTWGtvlcZNZc,Lapvip,+84 852 666 768,+84852666768,vietnam,4.7,Lapvip,"9 Ngõ 178 Thái Hà, Trung Liệt, Đống Đa, Hà Nội 100000, Vietnam"
ChIJTxrYBOCtNTERJMm5ynerlIU,An Phát Computer 151 Lê Thanh Nghị,+84 923 466 999,+84923466999,vietnam,4.7,An Phát Computer 151 Lê Thanh Nghị,"151 P. Lê Thanh Nghị, Đồng Tâm, Hai Bà Trưng, Hà Nội 10000, Vietnam"
ChIJ9XvUwlhVNDERjoZ6Gjp4DI8,Phúc Anh Smart World 141 - 143 Phạm Văn Đồng,+84 24 3968 9966,+842439689966,vietnam,4.7,Phúc Anh Smart World 141 - 143 Phạm Văn Đồng,"141-143 Đ. Phạm Văn Đồng, Mai Dịch, Cầu Giấy, Hà Nội 100000, Vietnam"
ChIJR5lfcRgvdTER180YxAHd9ag,Thanh Nhan Computer LLC (Electronics Shop),+84 28 3925 0259,+842839250259,vietnam,4.7,Thanh Nhan Computer LLC (Electronics Shop),"174 Bùi Thị Xuân, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam"
ChIJy18VsWApdTERTPZU6GdDsbQ,Nhan Laptop - Lifetime Warranty,+84 707 691 111,+84707691111,vietnam,4.7,Nhan Laptop - Lifetime Warranty,"Phạm Văn Bạch/73 Tân Sơn, Phường, Tân Bình, Thành phố Hồ Chí Minh 700000, Vietnam"
ChIJs1BHpZ4pdTERXhiaTPK0PqQ,TRẦN GIA COMPUTER,+84 937 547 855,+84937547855,vietnam,4.7,TRẦN GIA COMPUTER,"522 Đ. Phạm Văn Chiêu, Phường 16, Gò Vấp, Thành phố Hồ Chí Minh, Vietnam"
ChIJ0T25iMcvdTER_de8dDr8p4U,Máy Tính Nguyễn Công 249 Lý Thường Kiệt HCM,+84 707 086 666,+84707086666,vietnam,4.7,Máy Tính Nguyễn Công 249 Lý Thường Kiệt HCM,"249 Đ. Lý Thường Kiệt, Phường 15, Quận 11, Thành phố Hồ Chí Minh 72600, Vietnam"
ChIJAdPQQZYvdTERUmwRy5_-t6g,SaiGon Computer Q1,+84 937 872 877,+84937872877,vietnam,4.7,SaiGon Computer Q1,"87 Trần Đình Xu, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh, Vietnam"
