title,phone,web_site,address,category,review_rating,country,city,link
LapMax,+84 326 669 199,https://lapmax.com/,"11 ngõ 3 Thái Hà, Đống Đa, Hà Nội Hà Nội, Hanoi City, 10000, Vietnam",Computer store,4.9,VN,Hanoi,https://www.google.com/maps/place/LapMax/data=!4m7!3m6!1s0x3135af1949a8d815:0x194ebe70d69b3037!8m2!3d21.0094442!4d105.8229066!16s%2Fg%2F11svm7j3tg!19sChIJFdioSRmvNTERNzCb1nC-Thk?authuser=0&hl=en&rclk=1
HANOINEW COMPUTER,+84 24 2239 8888,https://hanoinew.vn/,"30 P. Võ Văn Dũng, Chợ Dừa, Đống Đa, Hà Nội 100000, Vietnam",Computer store,4.3,VN,Hanoi,https://www.google.com/maps/place/HANOINEW+COMPUTER/data=!4m7!3m6!1s0x3135ac7d81dd8237:0x694f5a364d7edbc2!8m2!3d21.0157096!4d105.8240992!16s%2Fg%2F1hm4l0xbz!19sChIJN4LdgX2sNTERwtt-TTZaT2k?authuser=0&hl=en&rclk=1
Minh An Computer - Laptop PC Gaming Đồ Họa Workstation,+84 1800 6321,https://minhancomputer.com/,"91 Nguyễn Xiển, Hạ Đình, Thanh Xuân, Hà Nội 10000, Vietnam",Computer store,4.5,VN,Hanoi,https://www.google.com/maps/place/Minh+An+Computer+-+Laptop+PC+Gaming+%C4%90%E1%BB%93+H%E1%BB%8Da+Workstation/data=!4m7!3m6!1s0x3135ad703f26693f:0x81cbff58cd3cadb2!8m2!3d20.988376!4d105.8061063!16s%2Fg%2F11fr09k7vs!19sChIJP2kmP3CtNTERsq08zVj_y4E?authuser=0&hl=en&rclk=1
Máy Tính PCM,+84 879 979 997,https://pcmarket.vn/,"83 P. Thái Hà, Trung Liệt, Đống Đa, Hà Nội, Vietnam",Computer store,5,VN,Hanoi,https://www.google.com/maps/place/M%C3%A1y+T%C3%ADnh+PCM/data=!4m7!3m6!1s0x3135adf3ddfe2f41:0x2f69910a2650fb88!8m2!3d21.0121923!4d105.8205101!16s%2Fg%2F11gxm5_gcn!19sChIJQS_-3fOtNTERiPtQJgqRaS8?authuser=0&hl=en&rclk=1
"TechSpace Việt Nam | Gaming Gear, PC và Đồ Công Nghệ",+84 342 656 996,http://techspace.vn/,"39 Ngõ 93 Hoàng Văn Thái, Khương Trung, Thanh Xuân, Hà Nội, Vietnam",Electronics store,4.9,VN,Hanoi,"https://www.google.com/maps/place/TechSpace+Vi%E1%BB%87t+Nam+%7C+Gaming+Gear,+PC+v%C3%A0+%C4%90%E1%BB%93+C%C3%B4ng+Ngh%E1%BB%87/data=!4m7!3m6!1s0x3135ac8031d6ad77:0xdf98c7530def4355!8m2!3d20.9948717!4d105.8262663!16s%2Fg%2F11nnv_9xvq!19sChIJd63WMYCsNTERVUPvDVPHmN8?authuser=0&hl=en&rclk=1"
Laptop TCC,+84 762 637 777,http://laptoptcc.com/,"101 P. Lê Thanh Nghị, Đồng Tâm, Hai Bà Trưng, Hà Nội 10000, Vietnam",Computer store,4.7,VN,Hanoi,https://www.google.com/maps/place/Laptop+TCC/data=!4m7!3m6!1s0x3135ac70d6e2779f:0xab4e37ef8772a126!8m2!3d21.0017566!4d105.8437371!16s%2Fg%2F11c1t59w5k!19sChIJn3fi1nCsNTERJqFyh-83Tqs?authuser=0&hl=en&rclk=1
Mansa Computers,8092 0798,http://www.mansacomputers.com/,"1 Ubi View, #01-22 Mansa Computers, Singapore 408555",Computer store,5,SG,Singapore,https://www.google.com/maps/place/Mansa+Computers/data=!4m7!3m6!1s0x31da17c53a1acaed:0x614cf2ab6132d901!8m2!3d1.3317635!4d103.897527!16s%2Fg%2F11f7fnx2s2!19sChIJ7coaOsUX2jERAdkyYavyTGE?authuser=0&hl=en&rclk=1
Gearvn Thái Hà,+84 1800 6975,https://gearvn.com/,"32 P. Thái Hà, Trung Liệt, Đống Đa, Hà Nội 100000, Vietnam",Electronics store,4.7,VN,Hanoi,https://www.google.com/maps/place/Gearvn+Th%C3%A1i+H%C3%A0/data=!4m7!3m6!1s0x3135abd7a4041695:0xa594770e41494bdb!8m2!3d21.0104719!4d105.8227527!16s%2Fg%2F11sythtqpm!19sChIJlRYEpNerNTER20tJQQ53lKU?authuser=0&hl=en&rclk=1
Xgear Vietnam,+84 972 321 881,https://xgear.net/,"10A1 Ng. 49 P. Linh Lang, Cống Vị, Ba Đình, Hà Nội 100000, Vietnam",Computer store,4.9,VN,Hanoi,https://www.google.com/maps/place/Xgear+Vietnam/data=!4m7!3m6!1s0x3135ab70f32ee62d:0x198e65b8a995a239!8m2!3d21.0350984!4d105.8107897!16s%2Fg%2F11n_x0pp35!19sChIJLeYu83CrNTEROaKVqbhljhk?authuser=0&hl=en&rclk=1
Hanoi Computer,+84 1900 1903,https://hacom.vn/,"79 Đ. Nguyễn Văn Huyên, Quan Hoa, Cầu Giấy, Hà Nội 10000, Vietnam",Computer store,3.9,VN,Hanoi,https://www.google.com/maps/place/Hanoi+Computer/data=!4m7!3m6!1s0x3135ab4764432ddb:0x63e02e8abee5b42d!8m2!3d21.0353189!4d105.7978706!16s%2Fg%2F11dftw70h_!19sChIJ2y1DZEerNTERLbTlvoou4GM?authuser=0&hl=en&rclk=1
Playzone Gaming Gear Shop,+84 965 789 666,http://www.playzone.vn/,"210 P. Lê Trọng Tấn, Định Công, Thanh Xuân, Hà Nội, Vietnam",Computer store,4.3,VN,Hanoi,https://www.google.com/maps/place/Playzone+Gaming+Gear+Shop/data=!4m7!3m6!1s0x3135ac70241b71d9:0x9ca54ea7d2d71317!8m2!3d20.9928271!4d105.8316919!16s%2Fg%2F11j34vtdjm!19sChIJ2XEbJHCsNTERFxPX0qdOpZw?authuser=0&hl=en&rclk=1
"Speed Computer - PC Gaming, PC Đồ Họa - Render, PC Văn Phòng, Workstations, Linh Kiện Chính Hãng",+84 916 016 866,http://speedcom.vn/,"Ngõ 533 Tam Trinh Số nhà 19, ngõ 533 đường Tam Trinh Hà Nội, Hanoi City, Vietnam",Computer service,4.9,VN,Hanoi,"https://www.google.com/maps/place/Speed+Computer+-+PC+Gaming,+PC+%C4%90%E1%BB%93+H%E1%BB%8Da+-+Render,+PC+V%C4%83n+Ph%C3%B2ng,+Workstations,+Linh+Ki%E1%BB%87n+Ch%C3%ADnh+H%C3%A3ng/data=!4m7!3m6!1s0x3135ad0ab6c084ef:0x697f834b7a3613f6!8m2!3d20.9807966!4d105.8646149!16s%2Fg%2F11ghlj80cp!19sChIJ74TAtgqtNTER9hM2ekuDf2k?authuser=0&hl=en&rclk=1"
ThinkPro,+84 1900 633579,https://thinkpro.vn/,"53 P. Thái Hà, Trung Liệt, Đống Đa, Hà Nội, Vietnam",Computer store,4.7,VN,Hanoi,https://www.google.com/maps/place/ThinkPro/data=!4m7!3m6!1s0x3135abdf7994930d:0x9766da564d2b294b!8m2!3d21.0116287!4d105.8212751!16s%2Fg%2F11pdygvswz!19sChIJDZOUed-rNTERSykrTVbaZpc?authuser=0&hl=en&rclk=1
Unistore Việt Nam,+84 966 816 866,http://unistorevn.com/,"152 Đ. La Thành, Chợ Dừa, Đống Đa, Hà Nội, Vietnam",Electronics store,4.9,VN,Hanoi,https://www.google.com/maps/place/Unistore+Vi%E1%BB%87t+Nam/data=!4m7!3m6!1s0x3135ab007ed02b15:0xfed634f6444501!8m2!3d21.0204385!4d105.8275783!16s%2Fg%2F11y3_2jvt0!19sChIJFSvQfgCrNTERAUVE9jTW_gA?authuser=0&hl=en&rclk=1
No.1 Computer - Hệ Thống Máy Tính & Phụ Kiện,+84 886 288 288,https://no1computer.vn/,"21 Ng. 131 P. Thái Hà, Trung Liệt, Đống Đa, Hà Nội 10000, Vietnam",Computer store,4.9,VN,Hanoi,https://www.google.com/maps/place/No.1+Computer+-+H%E1%BB%87+Th%E1%BB%91ng+M%C3%A1y+T%C3%ADnh+%26+Ph%E1%BB%A5+Ki%E1%BB%87n/data=!4m7!3m6!1s0x3135ab6d2fe7fd47:0x4fce8115fadd32ba!8m2!3d21.0126056!4d105.8189663!16s%2Fg%2F11g22wytqt!19sChIJR_3nL22rNTERujLd-hWBzk8?authuser=0&hl=en&rclk=1
Dynacore Technologies Pte. Ltd.,6989 3630,https://www.dynacoretech.com/,"1 Rochor Canal Rd, #05 - 73 / 76 / 77 / 46 Dynacore Technologies Pte. Ltd., Sim Lim Square, Singapore 188504",Computer store,4.8,SG,Singapore,https://www.google.com/maps/place/Dynacore+Technologies+Pte.+Ltd./data=!4m7!3m6!1s0x31da19bbd7daaaab:0x27d62846f27f3112!8m2!3d1.3029333!4d103.8529661!16s%2Fg%2F11fy5bwzjb!19sChIJq6ra17sZ2jEREjF_8kYo1ic?authuser=0&hl=en&rclk=1
AudioSV,+84 989 142 260,https://svstore.com.vn/,"25 P. Hà Kế Tấn, Phương Liệt, Thanh Xuân, Hà Nội 115000, Vietnam",Electronics store,4.7,VN,Hanoi,https://www.google.com/maps/place/AudioSV/data=!4m7!3m6!1s0x3135ada5cd2fa59b:0x8d475c9c502a778b!8m2!3d20.9976288!4d105.8365434!16s%2Fg%2F11h05w6hbd!19sChIJm6UvzaWtNTERi3cqUJxcR40?authuser=0&hl=en&rclk=1
Divine Shop,+84 1900 633305,http://divineshop.vn/,"96 P. Định Công, Phương Liệt, Thanh Xuân, Hà Nội, Vietnam",Computer software store,5,VN,Hanoi,https://www.google.com/maps/place/Divine+Shop/data=!4m7!3m6!1s0x3135ac998c4722cf:0xea2515d44fb8e874!8m2!3d20.9847849!4d105.8385958!16s%2Fg%2F11cmhtzztr!19sChIJzyJHjJmsNTERdOi4T9QVJeo?authuser=0&hl=en&rclk=1
M8 Computer - Sửa Chữa Gaming Gear - In Lót Chuột - Sửa Bàn Phím Cơ - Sửa Chuột - Sửa Tai Nghe Gaming - Sửa Tay Cầm Chơi Game,+84 979 517 538,http://m8computer.com/,"8B ngách 5 Ngõ 65, Mai Dịch, Cầu Giấy, Hà Nội 100000, Vietnam",Computer accessories store,4.5,VN,Hanoi,https://www.google.com/maps/place/M8+Computer+-+S%E1%BB%ADa+Ch%E1%BB%AFa+Gaming+Gear+-+In+L%C3%B3t+Chu%E1%BB%99t+-+S%E1%BB%ADa+B%C3%A0n+Ph%C3%ADm+C%C6%A1+-+S%E1%BB%ADa+Chu%E1%BB%99t+-+S%E1%BB%ADa+Tai+Nghe+Gaming+-+S%E1%BB%ADa+Tay+C%E1%BA%A7m+Ch%C6%A1i+Game/data=!4m7!3m6!1s0x313454bf3492d3fd:0x1dd4a8a554445f89!8m2!3d21.0394535!4d105.7733128!16s%2Fg%2F11ckqs8zjc!19sChIJ_dOSNL9UNDERiV9EVKWo1B0?authuser=0&hl=en&rclk=1
Laptopaz,+84 825 233 233,http://laptopaz.vn/,"18 Ng. 121 P. Thái Hà, Trung Liệt, Đống Đa, Hà Nội, Vietnam",Computer store,4.8,VN,Hanoi,https://www.google.com/maps/place/Laptopaz/data=!4m7!3m6!1s0x3135ac82787208a5:0x9a791b75b791245f!8m2!3d21.0125382!4d105.8194307!16s%2Fg%2F11c6vhh9cx!19sChIJpQhyeIKsNTERXySRt3UbeZo?authuser=0&hl=en&rclk=1
Lapvip,+84 852 666 768,https://lapvip.vn/,"9 Ngõ 178 Thái Hà, Trung Liệt, Đống Đa, Hà Nội 100000, Vietnam",Computer store,4.7,VN,Hanoi,https://www.google.com/maps/place/Lapvip/data=!4m7!3m6!1s0x3135abaa6e102c5b:0x97351957bead614d!8m2!3d21.0137352!4d105.8202417!16s%2Fg%2F11v3_tbwv9!19sChIJWywQbqqrNTERTWGtvlcZNZc?authuser=0&hl=en&rclk=1
Laptop K1,+84 336 688 683,https://laptopk1.vn/,"240 P. Lê Thanh Nghị, Đồng Tâm, Hai Bà Trưng, Hà Nội 11600, Vietnam",Computer store,4.9,VN,Hanoi,https://www.google.com/maps/place/Laptop+K1/data=!4m7!3m6!1s0x313453adc69b61d1:0xaaad0ec3e795cb46!8m2!3d21.0019733!4d105.842563!16s%2Fg%2F11fkv_hpwb!19sChIJ0WGbxq1TNDERRsuV58MOrao?authuser=0&hl=en&rclk=1
Hpctech,+84 987 191 515,https://hpctech.vn/,"269 P. Chùa Bộc, Trung Liệt, Đống Đa, Hà Nội 100000, Vietnam",Computer store,4.9,VN,Hanoi,https://www.google.com/maps/place/Hpctech/data=!4m7!3m6!1s0x3135ad03fc94ff65:0xf6140c624bbb9925!8m2!3d21.0087974!4d105.8251199!16s%2Fg%2F11ychcgb9g!19sChIJZf-U_AOtNTERJZm7S2IMFPY?authuser=0&hl=en&rclk=1
Phuc Anh Computer Company,+84 24 3968 9966,https://www.phucanh.vn/,"15 P. Xã Đàn, Phương Liên, Đống Đa, Hà Nội, Vietnam",Computer store,4.4,VN,Hanoi,https://www.google.com/maps/place/Phuc+Anh+Computer+Company/data=!4m7!3m6!1s0x3135ab871916eb05:0x696fde03613dd134!8m2!3d21.011203!4d105.836615!16s%2Fg%2F1td6pq0f!19sChIJBesWGYerNTERNNE9YQPeb2k?authuser=0&hl=en&rclk=1
Lắc Đầu Store,+84 349 296 461,http://lacdau.com/,"66 xã đàn, phương liên Hà Nội, Hanoi City, 100000, Vietnam",Shop,4.3,VN,Hanoi,https://www.google.com/maps/place/L%E1%BA%AFc+%C4%90%E1%BA%A7u+Store/data=!4m7!3m6!1s0x3135ab1cc7df05d1:0xd20640a83cd45ff3!8m2!3d21.0088432!4d105.8393729!16s%2Fg%2F11h4pc5ns_!19sChIJ0QXfxxyrNTER81_UPKhABtI?authuser=0&hl=en&rclk=1
"Duchieupc - Cửa hàng máy tính gaming, máy tính đồ họa cao cấp",+84 328 339 988,,"5 Ng. 16 P. Thái Hà, Trung Liệt, Đống Đa, Hà Nội 100000, Vietnam",Computer store,5,VN,Hanoi,"https://www.google.com/maps/place/Duchieupc+-+C%E1%BB%ADa+h%C3%A0ng+m%C3%A1y+t%C3%ADnh+gaming,+m%C3%A1y+t%C3%ADnh+%C4%91%E1%BB%93+h%E1%BB%8Da+cao+c%E1%BA%A5p/data=!4m7!3m6!1s0x3135ab90be9b3aa3:0x1275ce006d377ef8!8m2!3d21.0109827!4d105.8235463!16s%2Fg%2F11qqwvclgc!19sChIJozqbvpCrNTER-H43bQDOdRI?authuser=0&hl=en&rclk=1"
GamesCenter Store,+84 345 856 789,http://www.gamescenter.vn/,"38C P. Lý Nam Đế, Điện Biên, Hoàn Kiếm, Hà Nội 100000, Vietnam",Video game store,4.6,VN,Hanoi,https://www.google.com/maps/place/GamesCenter+Store/data=!4m7!3m6!1s0x3135ab962c1dd011:0x8c3067925709e169!8m2!3d21.0316987!4d105.8442249!16s%2Fg%2F11bccmgckv!19sChIJEdAdLJarNTERaeEJV5JnMIw?authuser=0&hl=en&rclk=1
An Phát Computer 151 Lê Thanh Nghị,+84 923 466 999,https://www.anphatpc.com.vn/,"151 P. Lê Thanh Nghị, Đồng Tâm, Hai Bà Trưng, Hà Nội 10000, Vietnam",Computer store,4.7,VN,Hanoi,https://www.google.com/maps/place/An+Ph%C3%A1t+Computer+151+L%C3%AA+Thanh+Ngh%E1%BB%8B/data=!4m7!3m6!1s0x3135ade004d81a4f:0x8594ab77cab9c924!8m2!3d21.0017342!4d105.8423031!16s%2Fg%2F11qspj3q4f!19sChIJTxrYBOCtNTERJMm5ynerlIU?authuser=0&hl=en&rclk=1
Phúc Anh Smart World 141 - 143 Phạm Văn Đồng,+84 24 3968 9966,https://www.phucanh.vn/,"141-143 Đ. Phạm Văn Đồng, Mai Dịch, Cầu Giấy, Hà Nội 100000, Vietnam",Computer store,4.7,VN,Hanoi,https://www.google.com/maps/place/Ph%C3%BAc+Anh+Smart+World+141+-+143+Ph%E1%BA%A1m+V%C4%83n+%C4%90%E1%BB%93ng/data=!4m7!3m6!1s0x31345558c2d47bf5:0x8f0c783a1a7a868e!8m2!3d21.0453369!4d105.780896!16s%2Fg%2F11h77ld3s7!19sChIJ9XvUwlhVNDERjoZ6Gjp4DI8?authuser=0&hl=en&rclk=1
Cửa hàng Phúc Anh Smart World,+84 24 3968 9966,http://phucanh.vn/,"89 Đ. Lê Duẩn, Văn Miếu – Quốc Tử Giám, Hoàn Kiếm, Hà Nội 100000, Vietnam",Computer store,5,VN,Hanoi,https://www.google.com/maps/place/C%E1%BB%ADa+h%C3%A0ng+Ph%C3%BAc+Anh+Smart+World/data=!4m7!3m6!1s0x3135abc2e3b4f2cb:0xd1ca4e678c137707!8m2!3d21.0253441!4d105.8416208!16s%2Fg%2F11swmdfbq4!19sChIJy_K048KrNTERB3cTjGdOytE?authuser=0&hl=en&rclk=1
GEARVN Hoàng Hoa Thám,,http://gearvn.com/,"82 Hoàng Hoa Thám, Phường 12, Tân Bình, Thành phố Hồ Chí Minh 700000, Vietnam",Computer store,4.7,VN,Ho Chi Minh City,https://www.google.com/maps/place/GEARVN+Ho%C3%A0ng+Hoa+Th%C3%A1m/data=!4m7!3m6!1s0x3175294a0c97a181:0x6aece518177f9a92!8m2!3d10.7989404!4d106.6474462!16s%2Fg%2F11bvtsgck2!19sChIJgaGXDEopdTERkpp_Fxjl7Go?authuser=0&hl=en&rclk=1
Thanh Nhan Computer LLC (Electronics Shop),+84 28 3925 0259,https://www.tnc.com.vn/,"174 Bùi Thị Xuân, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam",Computer store,4.7,VN,Ho Chi Minh City,https://www.google.com/maps/place/Thanh+Nhan+Computer+LLC+%28Electronics+Shop%29/data=!4m7!3m6!1s0x31752f18715f9947:0xa8f5dd01c418cdd7!8m2!3d10.767872!4d106.686285!16s%2Fg%2F1td__zg3!19sChIJR5lfcRgvdTER180YxAHd9ag?authuser=0&hl=en&rclk=1
Phong Vu Computer,+84 1800 6867,https://phongvu.vn/,"264A-264B-264C, 264B - 264C Nguyễn Thị Minh Khai, Phường 6, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",Computer store,4.2,VN,Ho Chi Minh City,https://www.google.com/maps/place/Phong+Vu+Computer/data=!4m7!3m6!1s0x31752f3b5e579381:0xbad3d6d98221b778!8m2!3d10.7738364!4d106.6892909!16s%2Fg%2F1tdcz5hm!19sChIJgZNXXjsvdTEReLchgtnW07o?authuser=0&hl=en&rclk=1
Tân Doanh,+84 783 666 668,https://tandoanh.vn/,"496 3 Tháng 2, Phường 14, Quận 10, Thành phố Hồ Chí Minh 700000, Vietnam",Computer store,4.2,VN,Ho Chi Minh City,https://www.google.com/maps/place/T%C3%A2n+Doanh/data=!4m7!3m6!1s0x31752ee5d6abdae9:0x7a2ddc7cc3fbdd31!8m2!3d10.76714!4d106.6657505!16s%2Fg%2F11b8twqh0r!19sChIJ6dqr1uUudTERMd37w3zcLXo?authuser=0&hl=en&rclk=1
Thu Mua Laptop Cũ Giá Cao - Laptop Nguyễn Nghĩa,+84 977 419 856,http://faceboo.com/thumualaptopcugiacaotphcm0977419856mrnghia,"102/8A Phan Huy Ích, Phường 15, Tân Bình, Thành phố Hồ Chí Minh 700000, Vietnam",Computer store,4.9,VN,Ho Chi Minh City,https://www.google.com/maps/place/Thu+Mua+Laptop+C%C5%A9+Gi%C3%A1+Cao+-+Laptop+Nguy%E1%BB%85n+Ngh%C4%A9a/data=!4m7!3m6!1s0x3175297c45d1f36f:0xebdf979d790c9388!8m2!3d10.8291081!4d106.6330418!16s%2Fg%2F11g6rlh6zp!19sChIJb_PRRXwpdTERiJMMeZ2X3-s?authuser=0&hl=en&rclk=1
BP Store,+84 938 889 100,https://bpstore.vn/,"42 Đ. Sầm Sơn, Phường 4, Tân Bình, Thành phố Hồ Chí Minh 72106, Vietnam",Computer store,4.9,VN,Ho Chi Minh City,https://www.google.com/maps/place/BP+Store/data=!4m7!3m6!1s0x317528ce30d56667:0xa54f82455b37d937!8m2!3d10.8045818!4d106.6596991!16s%2Fg%2F11g01_wtj_!19sChIJZ2bVMM4odTERN9k3W0WCT6U?authuser=0&hl=en&rclk=1
HUỲNH GIA COMPUTER,+84 868 686 397,https://huynhgiacomputer.com/,"8/18 Đ. Yên Đỗ, Tân Thành, Tân Phú, Thành phố Hồ Chí Minh 70000, Vietnam",Computer store,5,VN,Ho Chi Minh City,https://www.google.com/maps/place/HU%E1%BB%B2NH+GIA+COMPUTER/data=!4m7!3m6!1s0x317529b83b78dd53:0x988ca6f123e6ee37!8m2!3d10.7900043!4d106.6356802!16s%2Fg%2F11tdtky8cy!19sChIJU914O7gpdTERN-7mI_GmjJg?authuser=0&hl=en&rclk=1
Xgear,+84 28 7108 1881,https://xgear.net/,"8 Tự Lập, Phường Tân, Sơn Nhất, Thành phố Hồ Chí Minh 70000, Vietnam",Computer store,4.6,VN,Ho Chi Minh City,https://www.google.com/maps/place/Xgear/data=!4m7!3m6!1s0x31752934d78720e1:0xd51e0fa8457cb04b!8m2!3d10.792086!4d106.6556006!16s%2Fg%2F11g8_279jn!19sChIJ4SCH1zQpdTERS7B8RagPHtU?authuser=0&hl=en&rclk=1
PC Gaming Giá Rẻ HCM - chuyên máy tính bộ chơi game,,,"1 Đ. Thống Nhất, Phường 11, Gò Vấp, Thành phố Hồ Chí Minh, Vietnam",Computer store,0,VN,Ho Chi Minh City,https://www.google.com/maps/place/PC+Gaming+Gi%C3%A1+R%E1%BA%BB+HCM+-+chuy%C3%AAn+m%C3%A1y+t%C3%ADnh+b%E1%BB%99+ch%C6%A1i+game/data=!4m7!3m6!1s0x31752946edee511f:0xc1b0ccffda46ff11!8m2!3d10.83532!4d106.6646!16s%2Fg%2F11kgprtp7c!19sChIJH1Hu7UYpdTEREf9G2v_MsME?authuser=0&hl=en&rclk=1
